time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-05 00:00:00+00:00,0,0,52,2
2024-06-07 00:00:00+00:00,3,3,25,2
2024-06-08 00:00:00+00:00,0,0,9,1
2024-06-10 00:00:00+00:00,6,2,36,1
2024-06-11 00:00:00+00:00,1,1,23,3
2024-06-12 00:00:00+00:00,2,2,3,1
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,0,0,16,2
2024-06-16 00:00:00+00:00,0,0,2,1
2024-06-17 00:00:00+00:00,0,0,58,4
2024-06-18 00:00:00+00:00,0,0,2,1
2024-06-19 00:00:00+00:00,13,9,137,2
2024-06-20 00:00:00+00:00,1,1,8,2
2024-06-21 00:00:00+00:00,1,1,2,1
2024-06-23 00:00:00+00:00,4,2,4,1
2024-06-24 00:00:00+00:00,2,1,11,1
2024-06-26 00:00:00+00:00,0,0,8,1
2024-06-27 00:00:00+00:00,4,2,21,1
2024-06-28 00:00:00+00:00,0,0,18,4
2024-06-29 00:00:00+00:00,3,2,0,0
2024-06-30 00:00:00+00:00,3,1,2,1
2024-07-01 00:00:00+00:00,1,1,18,2
2024-07-02 00:00:00+00:00,0,0,2,1
2024-07-03 00:00:00+00:00,2,1,6,3
2024-07-04 00:00:00+00:00,2,2,4,2
2024-07-05 00:00:00+00:00,0,0,2,1
2024-07-08 00:00:00+00:00,1,1,0,0
2024-07-09 00:00:00+00:00,1,1,16,1
2024-07-10 00:00:00+00:00,0,0,7,2
2024-07-11 00:00:00+00:00,0,0,2,1
2024-07-12 00:00:00+00:00,0,0,4,2
2024-07-13 00:00:00+00:00,0,0,13,2
2024-07-14 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,1,1,3,2
